77/10 02S 146E     3 
77/10 03S 149E     7 
77/10 04S 150E    13 
                     AY02118                U    
77/10 04S 151E     2 
77/10 04S 153E     1 
77/10 06S 152E     2 
77/10 08S 155E  1177 
                     SB00272 78/11          PL FJ
                     SB01179 79/02 18S 180W PL FJ
78/01 20S 177E    54 
                     SB00592 78/02 20S 177E PL FJ
                     SB00762 78/02 20S 177E PL FJ
                     SB00901 78/02 20S 177E PL FJ
                     SB00908 78/02 20S 177E PL FJ
78/01 21S 164E   858 
                     SA08571 78/01 21S 164E PL   
                     SA08794 78/01 21S 164E PL   
                     SA08535 78/01 21S 164E PL   
                     SA08548 78/01 21S 164E PL   
                     SA08479 78/07 09S 158E PL SB
                     SA08968 78/10 00N 160E PL JP
                     SA08635 78/11 10S 159E PL SB
                     SA07964 79/01 05N 154E PL JP
78/01 21S 165E   259 
                     SA06590 78/01 21S 165E PL   
78/01 21S 166E   618 
                     SA05541 78/01 21S 166E PL   
                     SA06140 78/01 21S 166E PL   
                     SA05626 78/09 06S 154E T  PG
                     SA06311 78/09 10S 159E PL SB
                     SA05652 78/10 01N 160E PL JP
                     SA05501 79/02 06N 161E PL JP
78/01 22S 165E   612 
                     SA08409 78/01 23S 166E T  NC
                     SA08452 78/01 23S 166E T  NC
                     SA08430 78/01 23S 166E T  NC
                     SA08209 78/04 09S 160E PL SB
78/01 22S 166E   888 
                     SA06473 78/06 09S 160E T  SB
                     SA06918 78/08 10S 158E PL SB
                     SA07123 78/10 08S 157E PL SB
                     SA07402 79/08 02N 175E PL JP
78/01 23S 165E    44 
78/01 23S 166E   317 
                     SA07682 79/02 06N 156E PL JP
78/01 23S 167E    71 
                     SA07548 78/09 10S 159E PL SB
78/02 17S 177E    29 
78/02 17S 178E     2 
78/02 17S 179E     2 
78/02 17S 180W     4 
78/02 18S 176E    11 
78/02 18S 179E   104 
                     SC03566 78/03 18S 179E PL FJ
                     SC03814 78/04 17S 179E PL FJ
                     SC03966 78/11          PL FJ
                     SC03987 80/05 17S 179E PL FJ
78/02 18S 180W   503 
                     SC04229 78/02          PL FJ
                     SC04582 78/02          PL FJ
                     SC04522 78/02 18S 180W PL FJ
                     SC04148 78/03 17S 180W PL FJ
                     SC04236 78/03 18S 180W PL FJ
                     SC04555 78/03 18S 180W PL FJ
                     SC04562 78/03 18S 180W PL FJ
                     SC04598 78/03 18S 180W PL FJ
                     SC04605 78/03 18S 180W PL FJ
                     SC04586 78/03 18S 180W PL FJ
                     SC04553 78/03 18S 180W PL FJ
                     SC04533 78/03 18S 180W PL FJ
                     SC04152 78/04 17S 178E PL FJ
                     SC04168 78/05 17S 179E PL FJ
                     SC04481 78/05 17S 179E PL FJ
                     SC04590 78/06 16S 179E PL FJ
                     SC04566 78/06          PL FJ
                     SC03670 78/11          PL FJ
                     SC04600 78/11          PL FJ
