1977/10 02S 146E     3 
1977/10 03S 149E     197 
1977/10 04S 150E    13 
                     AY02118                U    
1977/10 04S 151E     2 
1977/10 04S 153E     1 
1977/10 06S 152E     2 
1977/10 08S 155E  1177 
                     VV00762 1978/02 20S 177E PL XX
                     VV00901 1978/02 20S 177E PL XX
                     VV00908 1978/02 20S 177E PL XX
1978/01 21S 164E   19858 
                     SA08571 1978/01 21S 164E PL   
                     SA08794 1978/01 21S 164E PL   
                     SA08535 1978/01 21S 164E PL   
                     SA08548 1978/01 21S 164E PL   
                     SA08479 1978/07 09S 158E PL VV
                     SA08968 1978/10 00N 160E PL YY
                     SA08635 1978/11 10S 159E PL VV
                     SA07964 1979/01 05N 154E PL YY
1978/01 21S 165E   259 
                     SA06590 1978/01 21S 165E PL   
1978/01 21S 166E   618 
                     SA05541 1978/01 21S 166E PL   
                     SA06140 1978/01 21S 166E PL   
                     SA05626 1978/09 06S 154E T  ZZ
                     SA06311 1978/09 10S 159E PL VV
                     SA05652 1978/10 01N 160E PL YY
                     SA05501 1979/02 06N 161E PL YY
1978/01 22S 165E   612 
                     SA08409 1978/01 23S 166E T  NC
                     SA08452 1978/01 23S 166E T  NC
                     SA08430 1978/01 23S 166E T  NC
                     SA08209 1978/04 09S 160E PL VV
1978/01 22S 166E   19888 
                     SA06473 1978/06 09S 160E T  VV
                     SA06918 1978/08 10S 158E PL VV
                     SA07123 1978/10 08S 157E PL VV
                     SA07402 1979/08 02N 175E PL YY
1978/01 23S 165E    44 
1978/01 23S 166E   317 
                     SA07682 1979/02 06N 156E PL YY
1978/01 23S 167E    1971 
                     SA07548 1978/09 10S 159E PL VV
1978/02 17S 177E    29 
1978/02 17S 178E     2 
1978/02 17S 179E     2 
1978/02 17S 180W     4 
1978/02 18S 176E    11 
1978/02 18S 179E   104 
                     SC03566 1978/03 18S 179E PL XX
                     SC03814 1978/04 17S 179E PL XX
                     SC03966 1978/11          PL XX
                     SC03987 1980/05 17S 179E PL XX
1978/02 18S 180W   503 
                     SC04229 1978/02          PL XX
