1979/03 09S 157E 0          4.5
1979/03 09S 158E 0          0
1979/03 10S 157E 0          3.33
1979/04 05S 160E 1          0
1979/04 08S 156E 4          9.04
1979/04 08S 158E 4          4.44
1979/04 08S 160E 7          20.5
1979/04 08S 161E 1          5
1979/04 09S 156E 26          72.42
1979/04 09S 157E 17          75.23
1979/04 09S 158E 14          39.91
1979/04 09S 159E 19          58
1979/04 09S 160E 33          92.59
1979/04 09S 161E 3          12.9
1979/04 10S 156E 19          90.17
1979/04 10S 157E 69          237.8
1979/04 10S 158E 46          196.41
1979/04 10S 159E 35          105.93
1979/04 10S 160E 3          2.3
1979/04 10S 161E 4          7
1979/05 07S 156E 1          6
1979/05 07S 157E 5          35
1979/05 07S 160E 3          13
1979/05 08S 155E 1          2
1979/05 08S 156E 23          99.11
1979/05 08S 157E 14          60.49
1979/05 08S 158E 20          84.92
1979/05 08S 159E 3          16.2
1979/05 08S 160E 2          7.5
1979/05 08S 161E 1          0.98
1979/05 09S 155E 3          6.9
1979/05 09S 156E 10          434.99
1979/05 09S 157E 31          88.15
1979/05 09S 158E 66          254.31
1979/05 09S 159E 38          98.84
1979/05 09S 160E 43          115.26
1979/05 09S 161E 4          6.3
1979/05 10S 156E 17          58.46
1979/05 10S 157E 49          166.12
1979/05 10S 158E 19          87.36
1979/05 10S 159E 31          86.8
1979/05 10S 160E 8          12.5
1979/05 10S 161E 3          8.5
1979/05 11S 160E 1          2
1979/06 07S 157E 2          6.5
1979/06 08S 155E 1          2
1979/06 08S 156E 25          127.65
1979/06 08S 157E 17          57.57
1979/06 08S 158E 8          28.6
1979/06 08S 160E 2          14
1979/06 08S 161E 1          5
1979/06 09S 156E 61          348.18
1979/06 09S 157E 37          123.06
1979/06 09S 158E 74          372.72
1979/06 09S 159E 54          334.96
1979/06 09S 160E 60          368.92
1979/06 10S 156E 18          80.5
1979/06 10S 157E 54          316.08
1979/06 10S 158E 56          411.06
1979/06 10S 159E 54          280.56
1979/06 10S 160E 2          16
1979/06 10S 161E 5          45
1979/07 07S 160E 1          2
1979/07 08S 156E 38          188.38
1979/07 08S 157E 17          90.5
1979/07 08S 158E 5          17
1979/07 08S 159E 1          0.5
1979/07 08S 160E 1          1
1979/07 09S 156E 72          423.65
1979/07 09S 157E 88          468.05
1979/07 09S 158E 72          349.58
1979/07 09S 159E 30          132.2
1979/07 09S 160E 76          378.49
1979/07 10S 156E 9          73.3
1979/07 10S 157E 39          258.1
1979/07 10S 158E 26          103.35
1979/07 10S 159E 74          281.19
1979/07 10S 160E 12          27
1979/08 08S 155E 3          20
1979/08 08S 156E 19          128.38
1979/08 08S 157E 42          280.36
1979/08 08S 158E 11          87
1979/08 09S 153E 1          6
1979/08 09S 155E 1          0
1979/08 09S 156E 43          244.26
1979/08 09S 157E 10          596.9
1979/08 09S 158E 88          718.25
1979/08 09S 159E 48          246.1
1979/08 09S 160E 40          225.31
1979/08 10S 156E 15          108.51
1979/08 10S 157E 41          253.63
1979/08 10S 158E 28          141.09
1979/08 10S 159E 72          331.85
1979/08 10S 161E 8          47.3
1979/08 11S 157E 1          8.6
1979/09 08S 156E 33          138.73
1979/09 08S 157E 76          376.87
1979/09 08S 158E 33          162.47
